system:index,B1,B2,B3,B4,B5,Latitude,Longitude,Pixel-Y,class,﻿Pixel-X,.geo
0000000000000000015e,0.0263,0.0332,0.0469,0.0089,0.0049,49.74058582,-124.8809307,8210.5,spawn,9678.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000015f,0.0263,0.0355,0.0475,0.0082,0.0049,49.74058089,-124.8807923,8210.5,spawn,9679.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000166,0.0263,0.0362,0.0464,0.009,0.0049,49.74049611,-124.8809383,8211.5,spawn,9678.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000167,0.0263,0.0362,0.0462,0.0089,0.0049,49.74049118,-124.8807999,8211.5,spawn,9679.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008,0.0274,0.037,0.0482,0.0078,0.005,49.74203107,-124.8810859,8194.5,spawn,9676.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009,0.0274,0.0392,0.0489,0.0112,0.005,49.74202614,-124.8809474,8194.5,spawn,9677.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000f,0.0254,0.032,0.0411,0.0067,0.005,49.74195615,-124.8815088,8195.5,spawn,9673.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000012,0.0274,0.0327,0.0472,0.0098,0.005,49.74194136,-124.8810935,8195.5,spawn,9676.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000013,0.0274,0.034,0.0496,0.0092,0.005,49.74193643,-124.880955,8195.5,spawn,9677.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000021,0.0279,0.0348,0.0501,0.0102,0.005,49.74184179,-124.8808242,8196.5,spawn,9678.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000022,0.0279,0.037,0.0477,0.0087,0.005,49.74183685,-124.8806858,8196.5,spawn,9679.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000031,0.0279,0.036,0.0485,0.0098,0.005,49.74175207,-124.8808318,8197.5,spawn,9678.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000032,0.0279,0.0358,0.0488,0.0094,0.005,49.74174714,-124.8806934,8197.5,spawn,9679.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a0,0.0221,0.0272,0.0376,0.0068,0.005,49.74137252,-124.8828079,8202.5,spawn,9664.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a1,0.0221,0.0264,0.0373,0.0071,0.005,49.7413676,-124.8826695,8202.5,spawn,9665.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
